,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,MeanWorkingTime
28,29,4.0,3.0,1.0,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,2,3,38829.201122
29,30,4.0,4.0,3.0,38,No,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,2,3,22186.962923
30,31,1.0,2.0,3.0,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,2,3,35239.456311
31,32,4.0,4.0,3.0,28,No,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,2,3,23636.784101
32,33,3.0,1.0,3.0,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,3,3,36688.838817
33,34,3.0,2.0,3.0,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,3,3,21848.153521
34,35,4.0,2.0,2.0,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,3,3,22707.530396
35,36,4.0,4.0,3.0,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,3,3,32323.939386
36,37,2.0,4.0,2.0,37,No,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,3,3,35051.839176
37,38,3.0,2.0,4.0,42,No,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,3,3,9939.686232
38,39,3.0,3.0,3.0,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,2,3,23920.6729
39,40,3.0,2.0,2.0,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,2,3,26124.284557
40,41,3.0,,3.0,36,No,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,2,3,25584.595943
41,42,4.0,2.0,3.0,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,2,3,26095.143454
42,43,4.0,2.0,3.0,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,3,3,24117.035232
43,44,4.0,3.0,3.0,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,3,3,20604.449518
44,45,2.0,1.0,3.0,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2,4,24577.76147
45,46,2.0,4.0,2.0,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,3,3,25454.745358
46,47,3.0,4.0,2.0,39,No,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,3,4,26407.251246
47,48,2.0,2.0,3.0,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,3,4,26308.229952
48,49,4.0,3.0,2.0,32,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,3,4,24255.572446
49,50,1.0,2.0,3.0,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,2,3,24825.554908
50,51,4.0,3.0,3.0,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,2,3,38483.075927
51,52,3.0,4.0,3.0,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,2,3,32669.229709
52,53,1.0,1.0,3.0,31,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,3,4,24410.417157
53,54,1.0,1.0,3.0,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,3,3,25192.315742
54,55,3.0,4.0,1.0,31,No,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3,3,30843.964515
55,56,4.0,2.0,3.0,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,3,3,10970.053806
56,57,3.0,1.0,3.0,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,3,4,39141.098022
57,58,3.0,4.0,3.0,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,3,3,26721.020676
58,59,3.0,3.0,3.0,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,3,4,33527.268651
59,60,3.0,2.0,2.0,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,3,3,27960.652331
60,61,3.0,2.0,2.0,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,3,4,37501.804595
61,62,3.0,2.0,3.0,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,4,3,37062.836296
62,63,4.0,3.0,3.0,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,4,3,35266.294466
63,64,4.0,4.0,3.0,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,4,3,22850.320627
64,65,1.0,4.0,2.0,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,3,3,25499.052257
65,66,1.0,4.0,2.0,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,2,3,37335.661608
66,67,4.0,4.0,3.0,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,3,3,20952.748058
67,68,3.0,3.0,3.0,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,2,3,22146.080976
68,69,3.0,4.0,3.0,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,3,3,21561.368232
69,70,4.0,3.0,2.0,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,3,3,33638.446963
70,71,2.0,4.0,2.0,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,3,3,26172.691264
71,72,4.0,3.0,3.0,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,4,4,22616.54163
72,73,3.0,3.0,4.0,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,3,3,22497.822507
73,74,3.0,2.0,3.0,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,3,3,32686.579222
74,75,4.0,3.0,2.0,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,3,3,10236.697635
75,76,3.0,1.0,2.0,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,3,4,24896.3702
76,77,4.0,4.0,3.0,45,No,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,3,3,25952.173611
77,78,2.0,4.0,2.0,40,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,3,3,35569.050042
78,79,2.0,1.0,2.0,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,3,3,37309.343791
79,80,2.0,4.0,3.0,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,3,4,24715.642781
80,81,4.0,3.0,3.0,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,2,3,25792.43259
81,82,2.0,2.0,3.0,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2,3,22252.514647
82,83,4.0,4.0,2.0,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,3,3,15049.18839
83,84,3.0,4.0,3.0,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,3,3,32832.425414
84,85,3.0,4.0,,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,3,3,37339.215162
85,86,4.0,2.0,3.0,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,3,3,28709.618097
86,87,3.0,2.0,3.0,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,4,3,27502.285766
87,88,3.0,4.0,2.0,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,2,4,25082.269672
88,89,4.0,2.0,3.0,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,3,3,34451.704498
89,90,2.0,3.0,3.0,47,No,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,4,3,26956.509032
90,91,1.0,4.0,3.0,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,1,4,20455.258028
91,92,4.0,3.0,2.0,29,No,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,2,4,21259.726489
92,93,3.0,3.0,3.0,42,No,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,2,3,27874.814261
93,94,3.0,2.0,3.0,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,3,3,13211.972373
94,95,1.0,3.0,1.0,48,No,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,2,3,25498.391373
95,96,3.0,1.0,3.0,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,3,3,37080.041114
96,97,4.0,3.0,4.0,30,No,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,3,4,35570.411791
97,98,3.0,3.0,3.0,26,No,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,3,3,21799.067409
98,99,1.0,4.0,3.0,42,No,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,3,3,20675.324903
99,100,1.0,2.0,3.0,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,2,3,27508.467996
100,101,4.0,4.0,3.0,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,1,4,21968.69887
101,102,1.0,4.0,3.0,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,3,3,25059.314886
102,103,4.0,3.0,3.0,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,1,3,22386.183657
103,104,4.0,3.0,3.0,40,No,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,3,3,29332.301315
104,105,1.0,4.0,2.0,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,1,3,20847.818281
105,106,4.0,3.0,3.0,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,1,4,36507.603304
106,107,3.0,1.0,3.0,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,4,3,27065.173815
107,108,3.0,3.0,4.0,46,No,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,3,3,20989.93247
108,109,1.0,2.0,3.0,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,4,3,25840.780795
109,110,4.0,4.0,3.0,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,3,3,25900.789458
110,111,3.0,3.0,3.0,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,2,4,24192.377086
111,112,,2.0,3.0,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,3,4,27620.874886
112,113,3.0,2.0,3.0,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,3,3,21204.101097
113,114,4.0,4.0,3.0,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,4,3,28625.857195
114,115,3.0,2.0,3.0,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,3,3,26688.762379
115,116,4.0,2.0,3.0,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,,Y,12,8,1,5.0,2,5,0,4,3,3,9949.844954
116,117,2.0,4.0,3.0,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,2,3,24196.780626
117,118,2.0,3.0,3.0,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,3,3,27650.330294
118,119,3.0,4.0,2.0,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,3,4,26725.372004
119,120,4.0,3.0,3.0,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,3,3,21677.747271
120,121,1.0,4.0,2.0,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,3,4,23678.111148
121,122,3.0,4.0,3.0,55,No,Travel_Rarely,Sales,26,3,Marketing,1,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,3,3,31149.869841
122,123,4.0,3.0,4.0,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,3,3,35522.773098
123,124,3.0,2.0,3.0,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,3,3,23690.830983
124,125,3.0,,3.0,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4,3,3,23929.036255
125,126,1.0,2.0,3.0,22,No,Travel_Rarely,Research & Development,16,5,Other,1,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2,2,3,21688.599898
126,127,2.0,3.0,3.0,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0,3,3,21657.269987
127,128,3.0,4.0,3.0,30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,1,0,0,2,3,24570.139883
128,129,4.0,1.0,2.0,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17,3,3,23725.864292
129,130,4.0,2.0,3.0,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3,2,3,23436.503311
130,131,2.0,1.0,3.0,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2,2,3,25855.61604
131,132,3.0,2.0,2.0,37,No,Travel_Rarely,Sales,9,1,Marketing,1,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1,2,3,34767.093142
132,133,1.0,2.0,3.0,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,25,3,9,3,3,12322.044561
133,134,2.0,3.0,3.0,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,1,0,0,2,3,25430.181811
134,135,1.0,1.0,2.0,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,4,1,2,2,4,18669.614655
